공고,회사명,공고 링크,위치,모집 기한,자격 조건,기술 스택 
[패스오더] 대한민국 1등 카페주문앱 '데브옵스 엔지니어' 채용,(주)페이타랩,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43798541&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기전체 ,상시채용,"['신입·경력', '학력무관']","['기술지원', ' 백엔드/서버개발', ' 앱개발', ' 웹개발', ' 프론트엔드 ']"
스마트오피스 솔루션 IoT 신입 개발자 모집,(주)에이텐시스템,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44134898&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기전체 ,~ 11/04(금),"['신입', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' QA/테스터', ' SI개발 ']"
"[누리어시스템] Java, JSP 웹 개발자를 모십니다.",(주)누리어시스템,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44169956&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기전체 ,~ 11/10(목),"['경력2년↑', '초대졸↑']","['앱개발', ' 웹개발', ' 프론트엔드', ' 솔루션', ' DevOps ']"
(주)디엠테크컨설팅 (본사) 2022년 하반기 웹개발자 채용,(주)디엠테크컨설팅,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44016278&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 화성시 ,~ 10/18(화),"['신입', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' Ajax', ' ASP.NET ']"
"[중견 자동차 부품 제조사] 마케팅/ 개발 / EV / IT, 법무 / 기",(주)HR컨설팅그룹,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44165888&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,~ 11/09(수),"['경력1년↑', '초대졸↑']","['앱개발', ' 웹개발', ' H/W', ' C#', ' C++ ']"
유니셈(주) IoT부문 경력 인재 모집,유니셈㈜,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44013616&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,~ 10/19(수),"['경력1년↑', '초대졸↑']","['H/W', ' AI(인공지능)', ' PL/SQL', ' IT영업', ' 단순생산직 ']"
[인텔리코드] 백엔드 개발자 모집 (경력/신입),(주)인텔리코드,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43981747&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 수원시 영통구 ,채용시,"['경력무관', '대졸↑']","['데이터분석가', ' 데이터엔지니어', ' 백엔드/서버개발', ' 웹개발', ' 정보보안 ']"
"[성남/분당]웹개발(SpringFramework , java, python )",로지시스템(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44023654&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,~ 10/31(월),"['신입', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' Ajax', ' Java', ' Python ']"
"SW 개발자 채용 (백/프론트엔드, AR/VR, 데이터분석)",(주)비카누스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44021317&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,~ 10/20(목),"['경력무관', '학력무관']","['데이터분석가', ' 백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' 머신러닝 ']"
마케팅팀 마케팅·홍보·조사 경력무관 채용,(주)스프링온워드,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44142666&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,~ 11/04(금),"['경력무관', '대졸↑']","['마케팅기획', ' 마케팅전략', ' 온라인마케팅', ' 제휴마케팅', ' 콘텐츠마케팅 ']"
품질관리 인원모집,(주)한국에어브레이크,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43968662&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 화성시 ,~ 11/12(토),"['경력 1~5년', '학력무관']","['품질관리', ' 품질관리', ' 제조', ' 자동차부품 수정일 22/09/15 ']"
(주)한미양행 [마케팅 본부] 부문별 신입 및 경력 수시 채용,(주)한미양행,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43973786&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 고양시 일산동구 ,~ 11/13(일),"['경력무관', '고졸↑']","['세무회계', ' ']"
동일제강(주) 총무팀(환경관리자) 채용공고,동일제강(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43915896&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 안성시 ,채용시,"['경력1년↑', '초대졸↑']","['유해화학물질', ' 대기환경기사', ' 환경관리자', ' 금속', ' 철강 ']"
"동일제강(주) 품질관리,검사 기능직 채용",동일제강(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44070807&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 안성시 ,채용시,"['경력무관', '학력무관']","['품질검사원', ' QC', ' 품질관리', ' 품질보증', ' 생산 ']"
동일제강 공무팀 전기기능직 채용,동일제강(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44118819&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 안성시 ,~ 12/03(토),"['경력무관', '학력무관']","['전기설비', ' 생산', ' 인발', ' 자동차', ' PLC ']"
동일제강(주) 품질관리 담당자 채용공고,동일제강(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44137439&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 안성시 ,채용시,"['경력무관', '대졸↑']","['QC', ' 품질관리', ' 품질보증', ' 생산', ' 인발 ']"
자동차부품제조사 품질보증 및 관리 경력사원 모집,레이캅코리아(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44120243&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,인천 남동구 ,~ 10/31(월),"['경력13년↑', '초대졸↑']","['생산관리', ' QA', ' QC', ' 제조', ' 품질보증 ']"
자동차부품제조사 자재관리 경력사원 모집,레이캅코리아(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44120170&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,인천 남동구 ,~ 10/31(월),"['경력 1~5년', '학력무관']","['자재관리', ' 재고관리', ' 창고관리', ' 자동차부품 등록일 22/10/04 ']"
자동차부품(사출) 생산관리,파이오락스(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43930185&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,인천 연수구 ,~ 11/04(금),"['신입·경력', '초대졸↑']","['생산관리', ' 공정관리', ' 제조', ' 플라스틱', ' 자동차부품 수정일 22/10/06 ']"
품질관리 경력사원 모집,(주)효진,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44145350&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 안산시 단원구 ,오늘마감,"['신입·경력', '초대졸↑']","['QC', ' 품질관리', ' 금속', ' 품질보증', ' 자동차부품 등록일 22/10/06 ']"
패션 스타트업에서 CX팀원을 구합니다,(주)페칭,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43885326&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기전체 ,~ 10/30(일),"['경력무관', '고졸↑']","['기획MD', ' 프로모션기획', ' CS관리', ' 상품기획', ' 서비스기획 ']"
JAVA 웹개발 경력자 모집(정규직 2명),(주)아이스크림미디어,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44150740&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,~ 10/16(일),"['경력3년↑', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' Java', ' API', ' MSSQL ']"
솔루션 개발직,(주)와이즈넛,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=40754146&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기전체 ,상시채용,"['경력 2~10년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' Java', ' JSP', ' Spring ']"
솔루션 컨설턴트,(주)와이즈넛,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=40754178&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기전체 ,상시채용,"['경력 5~20년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' SE(시스템엔지니어)', ' 머신러닝', ' Java ']"
한국무역정보통신 신입직원(사업 / ICT) 모집,(주)한국무역정보통신,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44049121&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,~ 10/16(일),"['신입', '대졸↑']","['백엔드/서버개발', ' 웹개발', ' 네트워크', ' 영업기획', ' 인프라 ']"
[아프리카TV] Full Stack 개발,(주)아프리카티비,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44127464&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,~ 10/16(일),"['경력3년↑', '학력무관']","['백엔드/서버개발', ' 프론트엔드', ' APM', ' DBMS', ' Android ']"
[아프리카TV] 통합멤버쉽 / 백엔드 플랫폼 개발 및 유지보수,(주)아프리카티비,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44187476&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,~ 10/30(일),"['경력4년↑', '학력무관']","['백엔드/서버개발', ' 앱개발', ' 웹개발', ' 프론트엔드', ' 빌링 ']"
[롯데정보통신] SAP FI (화학IS팀),롯데정보통신(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42367497&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기전체 ,상시채용,"['경력 3~8년', '대졸↑']","['웹개발', ' S/W', ' SAP', ' ABAP', ' Java ']"
공통프레임워크 개발 (AA 및 SA),(주)한국네트웍스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44010585&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기전체 ,상시채용,"['경력 5~20년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 퍼블리셔', ' 프론트엔드', ' DBA ']"
[한국앤컴퍼니그룹] 한국네트웍스 경력 채용(솔루션 LAB),(주)한국네트웍스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44139752&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,채용시,"['경력5년↑', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' C#', ' Git ']"
서버 Platform Back-end 개발자,원스토어(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=40270646&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기전체 ,상시채용,"['경력 3~10년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' DBA', ' SE(시스템엔지니어) ']"
대학 학사행정시스템 운영 유지보수 담당 경력직원 모집,(주)지에스아이티엠,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44008170&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 화성시 ,~ 10/16(일),"['경력 6~10년', '학력무관']","['유지보수', ' SE(시스템엔지니어)', ' RDBMS', ' Java', ' MSSQL ']"
[아이나비] 백엔드(Back-end) 서버 개발자 모집,(주)아이나비시스템즈,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44101360&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기전체 ,~ 10/30(일),"['경력 3~10년', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' DBA', ' SE(시스템엔지니어) ']"
R&D 솔루션 연구 개발,(주)휴먼컨설팅그룹,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=41049289&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기전체 ,상시채용,"['경력무관', '학력무관']","['솔루션', ' S/W', ' OracleDB', ' Spring', ' SpringBoot ']"
[NHN] 데이터 서비스/플랫폼 개발,엔에이치엔(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43835238&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,채용시,"['경력무관', '대졸↑']","['데이터분석가', ' 데이터엔지니어', ' 빅데이터', ' 솔루션', ' Bootstrap ']"
[NHN PAYCO] 쿠폰광고 서비스 개발,엔에이치엔(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43854655&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,채용시,"['경력6년↑', '학력무관']","['백엔드/서버개발', ' Javascript', ' Linux', ' NoSQL', ' Redis ']"
[NHN] GameAnvil 서비스 웹 개발,엔에이치엔(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43931053&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,채용시,"['경력3년↑', '학력무관']","['게임개발', ' 백엔드/서버개발', ' C++', ' Java', ' 프론트엔드 ']"
[NHN] WA서비스 서버 개발,엔에이치엔(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43946984&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,채용시,"['경력3년↑', '학력무관']","['백엔드/서버개발', ' API', ' Java', ' Linux', ' MySQL ']"
[NHN PAYCO] 비즈플러스 서비스 개발,엔에이치엔(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43851917&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,채용시,"['경력6년↑', '학력무관']","['백엔드/서버개발', ' Javascript', ' Linux', ' NoSQL', ' Redis ']"
[개발직군]프론트엔드/백엔드 프리랜서 개발자 채용,(주)에어릭스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44027571&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 광명시 ,~ 10/20(목),"['경력5년↑', '학력무관']","['백엔드/서버개발', ' 프론트엔드', ' AWS', ' Docker', ' Kafka ']"
[NHN] GameAnvil 게임 서버 엔진 개발,엔에이치엔(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44102353&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,채용시,"['경력3년↑', '학력무관']","['게임개발', ' 백엔드/서버개발', ' C++', ' Java', ' R ']"
[NHN] 신규 스포츠베팅 백엔드 개발,엔에이치엔(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44102473&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,채용시,"['경력5년↑', '학력무관']","['게임개발', ' 백엔드/서버개발', ' Azure', ' Logstash', ' TypeScript ']"
[NHN] 게임플랫폼 서버개발,엔에이치엔(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44102290&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,채용시,"['경력3년↑', '학력무관']","['게임개발', ' 백엔드/서버개발', ' RDBMS', ' Hadoop', ' Java ']"
[NHN] 라인팝2 서버 개발,엔에이치엔(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44102494&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,채용시,"['경력3년↑', '학력무관']","['게임개발', ' Java', ' MySQL', ' Python', ' Redis ']"
[강남/과차장급] 인하우스 백엔드/서버개발(Node.js/JavaScrip),(주)키스템프그룹,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44153464&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기전체 ,~ 11/03(목),"['경력 5~20년', '학력무관']","['백엔드/서버개발', ' 앱개발', ' 웹개발', ' 프론트엔드', ' 클라우드 ']"
[잠실역/정규직] 유명프랜차이즈 전산시스템(Java/iBatis/MSSQL),(주)키스템프그룹,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44153479&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기전체 ,~ 11/03(목),"['경력2년↑', '대졸↑']","['백엔드/서버개발', ' 앱개발', ' 웹개발', ' 유지보수', ' SI개발 ']"
IT(경력)개발자 모집합니다.,덕성기획(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44159282&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 부천시 ,~ 11/06(일),"['경력 3~7년', '대졸↑']","['S/W', ' Java', ' ASP.NET', ' Spring', ' 출판사 ']"
BackEnd 개발자,(주)앤씨앤,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=42196137&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기전체 ,상시채용,"['경력 3~15년', '대졸↑']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' DBA', ' SE(시스템엔지니어) ']"
[인포뱅크] 자바 웹 개발자 모집,인포뱅크(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43902862&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,채용시,"['경력3년↑', '초대졸↑']","['웹개발', ' API', ' Java', ' MySQL', ' Spring ']"
App 개발 신입/경력 채용,(주)다누시스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43779455&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기전체 ,상시채용,"['신입·경력', '학력무관']","['앱개발', ' 웹개발', ' 프론트엔드', ' Android', ' Java ']"
솔루션 개발자 경력직 채용,(주)플레이디,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43960075&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,내일마감,"['경력 3~10년', '학력무관']","['웹개발', ' Java', ' Python', ' 유지보수', ' 빅데이터 ']"
(주)휴민텍 2022년도 하반기 정기채용,(주)휴민텍,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43943777&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 수원시 영통구 ,채용시,"['신입·경력', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 프론트엔드', ' Java', ' Python ']"
IT개발(IOS/AOS)·데이터 정규직 채용 - 각 분야별,인포뱅크(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43984760&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,~ 11/14(월),"['경력무관', '초대졸↑']","['앱개발', ' 프론트엔드', ' API', ' Android', ' Git ']"
[JOYCITY] 플랫폼 서버개발 모집,(주)조이시티,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44092980&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,~ 10/31(월),"['경력무관', '학력무관']","['백엔드/서버개발', ' 클라우드', ' API', ' AWS', ' Azure ']"
[코스닥 상장사] 웹 백엔드 개발자 채용,알서포트(주),https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44170406&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기전체 ,~ 10/24(월),"['경력3년↑', '학력무관']","['백엔드/서버개발', ' 웹개발', ' 반응형웹', ' 솔루션', ' 웹표준·웹접근성 ']"
지능망 서비스 Java 개발자 모집,(주)헤리트,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=41098949&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기전체 ,상시채용,"['경력 3~7년', '학력무관']","['백엔드/서버개발', ' 웹개발', ' DBA', ' SE(시스템엔지니어)', ' 네트워크 ']"
Web Application 개발,(주)다우기술,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43671438&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기전체 ,~ 10/20(목),"['경력 3~10년', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' 퍼블리셔', ' 프론트엔드', ' ECMAScript ']"
[NHN Bugs] 웹개발(Front-End) 경력 채용,(주)엔에이치엔벅스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43781714&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,채용시,"['경력', '학력무관']","['웹개발', ' 프론트엔드', ' Java', ' Javascript', ' React ']"
[BI] 사내 데이터플랫폼 개발 담당 (팀장급) 모집,(주)스마일게이트메가포트,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44094365&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,~ 10/31(월),"['경력10년↑', '학력무관']","['데이터분석가', ' 머신러닝', ' 빅데이터', ' AI(인공지능)', ' Hadoop ']"
[카카오게임즈 자회사] 메타보라 웹게임 백엔드 서버 개발자,(주)카카오게임즈,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44126891&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,채용시,"['경력5년↑', '학력무관']","['백엔드/서버개발', ' AWS', ' Git', ' Java', ' MySQL ']"
[하이브랩] Java 개발자 모집 (경력),(주)하이브랩,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44152104&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,~ 11/10(목),"['경력 4~8년', '초대졸↑']","['백엔드/서버개발', ' 웹개발', ' Java', ' AWS', ' CentOS ']"
JAVA / 클라우드 SaaS개발 / 제품 개발 경력자 모집,(주)핸디소프트,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43841413&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 안양시 동안구 ,채용시,"['경력 3~10년', '초대졸↑']","['클라우드', ' Docker', ' Java', ' JPA', ' SaaS ']"
[JAVA백엔드/웹서비스/데이터분석/AI서비스] 개발 경력자 채용,(주)에스비티글로벌,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=43854180&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 성남시 분당구 ,상시채용,"['경력 3~10년', '대졸↑']","['백엔드/서버개발', ' 데이터마이닝', ' 데이터시각화', ' 딥러닝', ' 머신러닝 ']"
[강남/정규직/중견기업] 웹툰플랫폼 프론트엔드/백엔드 채용,(주)사람인에이치에스,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44039191&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,서울 강남구 ,~ 10/21(금),"['경력5년↑', '학력무관']","['기술지원', ' 데이터분석가', ' 데이터엔지니어', ' 백엔드/서버개발', ' 보안컨설팅 ']"
SI 사업부 웹 개발 업무 팀원 모집,지엠아이티㈜,https://www.saramin.co.kr/zf_user/jobs/view?view_type=search&rec_idx=44039740&location=ts&searchword=spring%2C&searchType=search&paid_fl=n&search_uuid=c909eecc-d38e-4b16-9ad1-7e36ff84676b,경기 수원시 영통구 ,채용시,"['경력3년↑', '학력무관']","['웹개발', ' SI개발', ' Java', ' MySQL', ' OracleDB ']"
